,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer Real
1096,26.21,1.73,70.49,Masculino,Azul,Ruivo,Contusão,Escola,Parda,Classe Média,Desconhecido
737,53.59,1.49,42.3,Feminino,Castanho,Castanho,Estrangulamento,Trabalho,Branca,Classe Média,Desconhecido
1670,24.27,1.87,84.78,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
181,38.2,1.86,42.72,Masculino,Castanho,Preto,Esfaqueamento,Escola,Parda,Classe Alta,Desconhecido
1341,15.88,1.51,35.45,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
310,38.0,1.61,41.71,Feminino,Verde,Loiro,Contusão,Escola,Branca,Classe Baixa,Desconhecido
536,42.98,1.6,82.21,Feminino,Azul,Ruivo,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
1793,25.52,1.7,82.95,Feminino,Azul,Ruivo,Estrangulamento,Rua,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1811,26.11,1.84,78.2,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Baixa,Roberto Chimarildo Tomáz
1769,29.69,1.72,80.03,Feminino,Verde,Loiro,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
1616,43.97,1.64,60.58,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
896,21.37,1.47,66.54,Feminino,Azul,Preto,Contusão,Escola,Amarela,Classe Média,Desconhecido
1024,29.19,1.7,36.06,Feminino,Verde,Loiro,Envenenamento,Escola,Amarela,Classe Alta,Desconhecido
571,23.75,1.79,38.2,Masculino,Azul,Ruivo,Contusão,Rua,Parda,Classe Média,Desconhecido
1565,35.91,1.63,54.14,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1779,24.39,1.89,60.62,Feminino,Verde,Castanho,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
759,14.58,1.76,89.49,Masculino,Verde,Ruivo,Envenenamento,Trabalho,Amarela,Classe Alta,Desconhecido
1431,23.7,1.46,40.08,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
1282,14.66,1.86,33.18,Feminino,Azul,Loiro,Estrangulamento,Casa,Amarela,Classe Alta,Desconhecido
1147,56.09,1.48,36.46,Feminino,Azul,Preto,Contusão,Casa,Amarela,Classe Baixa,Desconhecido
113,10.13,1.82,42.85,Feminino,Verde,Preto,Estrangulamento,Escola,Parda,Classe Média,Desconhecido
1620,45.47,1.6,45.89,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
607,19.36,1.8,43.56,Masculino,Azul,Preto,Esfaqueamento,Escola,Negra,Classe Alta,Desconhecido
1830,20.63,1.86,85.51,Feminino,Verde,Loiro,Estrangulamento,Casa,Negra,Classe Baixa,Roberto Chimarildo Tomáz
282,21.76,1.49,69.33,Feminino,Verde,Castanho,Estrangulamento,Trabalho,Amarela,Classe Baixa,Desconhecido
149,45.87,1.66,75.7,Feminino,Castanho,Loiro,Estrangulamento,Casa,Amarela,Classe Baixa,Desconhecido
2,54.18,1.5,36.99,Feminino,Verde,Ruivo,Envenenamento,Escola,Parda,Classe Baixa,Desconhecido
1105,46.81,1.81,70.71,Feminino,Verde,Loiro,Envenenamento,Rua,Amarela,Classe Alta,Desconhecido
185,31.91,1.81,85.21,Feminino,Verde,Preto,Estrangulamento,Trabalho,Branca,Classe Alta,Desconhecido
586,47.51,1.45,34.38,Masculino,Azul,Preto,Esfaqueamento,Trabalho,Amarela,Classe Alta,Desconhecido
155,42.51,1.42,53.25,Masculino,Azul,Preto,Contusão,Rua,Amarela,Classe Alta,Desconhecido
830,21.52,1.71,84.88,Feminino,Castanho,Preto,Estrangulamento,Casa,Negra,Classe Média,Desconhecido
817,42.27,1.83,83.67,Masculino,Azul,Preto,Contusão,Trabalho,Parda,Classe Alta,Desconhecido
31,28.61,1.42,54.48,Masculino,Azul,Preto,Contusão,Escola,Parda,Classe Baixa,Desconhecido
532,33.01,1.75,45.34,Feminino,Azul,Preto,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido
1068,23.29,1.68,38.4,Feminino,Castanho,Loiro,Envenenamento,Casa,Branca,Classe Baixa,Desconhecido
1048,53.61,1.53,48.82,Masculino,Azul,Preto,Estrangulamento,Rua,Parda,Classe Média,Desconhecido
591,46.1,1.63,58.66,Masculino,Castanho,Loiro,Contusão,Rua,Negra,Classe Média,Desconhecido
192,15.2,1.44,72.69,Masculino,Castanho,Loiro,Esfaqueamento,Escola,Amarela,Classe Alta,Desconhecido
1110,28.42,1.8,69.6,Masculino,Preto,Ruivo,Esfaqueamento,Rua,Parda,Classe Baixa,Desconhecido
1556,35.49,1.69,53.38,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
1593,39.54,1.78,57.18,Feminino,Castanho,Castanho,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1400,12.67,1.58,44.49,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
1229,19.38,1.54,81.62,Masculino,Azul,Preto,Estrangulamento,Trabalho,Negra,Classe Alta,Desconhecido
17,35.22,1.8,49.06,Feminino,Azul,Castanho,Esfaqueamento,Casa,Negra,Classe Baixa,Desconhecido
1246,18.34,1.67,55.15,Masculino,Castanho,Ruivo,Contusão,Rua,Negra,Classe Alta,Desconhecido
790,23.58,1.46,72.59,Feminino,Castanho,Loiro,Envenenamento,Escola,Negra,Classe Baixa,Desconhecido
1580,36.68,1.71,42.05,Masculino,Castanho,Ruivo,Contusão,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1267,46.19,1.83,41.31,Feminino,Preto,Preto,Estrangulamento,Trabalho,Branca,Classe Baixa,Desconhecido
1051,11.21,1.67,83.41,Feminino,Castanho,Preto,Estrangulamento,Escola,Branca,Classe Média,Desconhecido
507,37.34,1.45,35.0,Feminino,Verde,Ruivo,Envenenamento,Rua,Amarela,Classe Alta,Desconhecido
1361,12.49,1.54,45.52,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1775,30.27,1.82,36.76,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
1800,50.68,1.83,85.91,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1487,35.07,1.72,56.25,Masculino,Castanho,Ruivo,Esfaqueamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1643,53.43,1.59,55.8,Masculino,Castanho,Preto,Envenenamento,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
1337,13.59,1.43,39.69,Feminino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
645,35.42,1.48,71.02,Feminino,Castanho,Loiro,Contusão,Casa,Amarela,Classe Baixa,Desconhecido
407,38.03,1.51,75.3,Feminino,Preto,Preto,Estrangulamento,Trabalho,Negra,Classe Média,Desconhecido
226,17.67,1.46,73.34,Masculino,Verde,Loiro,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido
1816,25.12,1.81,83.93,Feminino,Verde,Loiro,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1008,30.06,1.89,50.97,Masculino,Preto,Ruivo,Contusão,Escola,Negra,Classe Alta,Desconhecido
145,45.98,1.79,45.26,Feminino,Verde,Preto,Contusão,Casa,Branca,Classe Alta,Desconhecido
1060,30.59,1.84,83.62,Feminino,Castanho,Ruivo,Esfaqueamento,Casa,Parda,Classe Média,Desconhecido
47,48.79,1.83,62.75,Feminino,Castanho,Loiro,Envenenamento,Escola,Branca,Classe Média,Desconhecido
609,13.26,1.47,67.39,Masculino,Azul,Castanho,Esfaqueamento,Rua,Negra,Classe Alta,Desconhecido
1425,22.95,1.59,35.63,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1122,55.75,1.46,60.72,Feminino,Castanho,Preto,Esfaqueamento,Trabalho,Branca,Classe Média,Desconhecido
1586,35.7,1.59,34.38,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
461,44.08,1.62,33.3,Feminino,Preto,Preto,Envenenamento,Escola,Negra,Classe Baixa,Desconhecido
1161,18.98,1.54,66.21,Feminino,Azul,Ruivo,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido
307,54.0,1.8,74.63,Masculino,Verde,Loiro,Esfaqueamento,Casa,Branca,Classe Baixa,Desconhecido
654,40.78,1.8,45.99,Feminino,Azul,Loiro,Envenenamento,Casa,Negra,Classe Média,Desconhecido
1380,13.38,1.46,43.49,Masculino,Azul,Loiro,Esfaqueamento,Trabalho,Branca,Classe Média,ElBigodon Camacho
1581,42.31,1.66,63.59,Feminino,Castanho,Preto,Esfaqueamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
502,28.32,1.63,84.46,Feminino,Azul,Preto,Estrangulamento,Rua,Branca,Classe Baixa,Desconhecido
840,51.8,1.47,66.5,Feminino,Castanho,Preto,Contusão,Trabalho,Branca,Classe Alta,Desconhecido
1245,28.06,1.66,86.81,Feminino,Preto,Preto,Contusão,Escola,Parda,Classe Alta,Desconhecido
1387,18.06,1.54,35.21,Masculino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Média,ElBigodon Camacho
1130,20.31,1.53,69.1,Masculino,Azul,Castanho,Envenenamento,Casa,Negra,Classe Alta,Desconhecido
56,30.03,1.84,57.49,Feminino,Azul,Preto,Envenenamento,Trabalho,Negra,Classe Média,Desconhecido
1434,11.08,1.62,36.03,Masculino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Média,ElBigodon Camacho
1437,12.11,1.47,45.27,Feminino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1805,27.51,1.71,74.21,Feminino,Verde,Ruivo,Estrangulamento,Rua,Branca,Classe Baixa,Roberto Chimarildo Tomáz
1548,44.32,1.71,63.02,Feminino,Verde,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
337,47.64,1.53,85.71,Feminino,Verde,Ruivo,Contusão,Escola,Parda,Classe Média,Desconhecido
1360,22.59,1.68,37.38,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
768,27.27,1.66,73.33,Masculino,Azul,Loiro,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
1614,46.29,1.7,65.02,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
46,30.8,1.7,66.07,Feminino,Verde,Castanho,Esfaqueamento,Escola,Amarela,Classe Alta,Desconhecido
799,32.97,1.64,39.47,Feminino,Azul,Ruivo,Contusão,Casa,Amarela,Classe Média,Desconhecido
794,51.7,1.41,47.27,Masculino,Castanho,Loiro,Contusão,Rua,Parda,Classe Alta,Desconhecido
1055,29.46,1.85,71.17,Masculino,Castanho,Ruivo,Contusão,Rua,Negra,Classe Baixa,Desconhecido
264,26.48,1.79,77.16,Feminino,Azul,Ruivo,Envenenamento,Escola,Branca,Classe Alta,Desconhecido
80,48.16,1.75,35.51,Masculino,Azul,Preto,Envenenamento,Casa,Negra,Classe Alta,Desconhecido
1126,32.97,1.47,43.19,Masculino,Preto,Ruivo,Esfaqueamento,Trabalho,Parda,Classe Alta,Desconhecido
422,17.84,1.88,87.51,Masculino,Preto,Preto,Envenenamento,Rua,Amarela,Classe Baixa,Desconhecido
1062,35.63,1.82,48.86,Feminino,Preto,Ruivo,Contusão,Casa,Amarela,Classe Baixa,Desconhecido
1292,31.01,1.64,60.26,Masculino,Preto,Preto,Esfaqueamento,Trabalho,Amarela,Classe Baixa,Desconhecido
1742,31.03,1.75,75.79,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1306,29.9,1.6,56.03,Masculino,Preto,Preto,Estrangulamento,Trabalho,Negra,Classe Média,Desconhecido
1728,24.68,1.81,84.16,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1274,46.79,1.65,38.87,Feminino,Verde,Preto,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
1251,41.27,1.59,64.73,Feminino,Azul,Preto,Envenenamento,Rua,Parda,Classe Média,Desconhecido
520,13.14,1.85,36.42,Feminino,Castanho,Loiro,Envenenamento,Casa,Parda,Classe Média,Desconhecido
1259,41.38,1.64,40.71,Feminino,Preto,Castanho,Envenenamento,Casa,Negra,Classe Média,Desconhecido
1260,59.31,1.48,47.97,Feminino,Preto,Ruivo,Estrangulamento,Escola,Negra,Classe Baixa,Desconhecido
1043,31.77,1.63,77.85,Masculino,Castanho,Ruivo,Estrangulamento,Casa,Negra,Classe Baixa,Desconhecido
700,54.61,1.62,69.75,Feminino,Azul,Ruivo,Envenenamento,Casa,Amarela,Classe Média,Desconhecido
1818,30.89,1.45,79.84,Masculino,Verde,Ruivo,Contusão,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
224,12.55,1.7,81.96,Feminino,Azul,Castanho,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido
103,32.4,1.85,76.05,Feminino,Preto,Loiro,Contusão,Casa,Branca,Classe Alta,Desconhecido
1518,44.44,1.67,85.11,Masculino,Castanho,Castanho,Estrangulamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
455,12.37,1.83,74.1,Feminino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Média,Desconhecido
1404,22.22,1.49,43.85,Masculino,Castanho,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
449,28.4,1.55,46.64,Masculino,Azul,Preto,Esfaqueamento,Escola,Negra,Classe Alta,Desconhecido
198,31.14,1.5,31.11,Masculino,Azul,Ruivo,Estrangulamento,Escola,Branca,Classe Baixa,Desconhecido
1309,24.23,1.43,34.85,Feminino,Azul,Preto,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido
25,26.66,1.5,60.23,Feminino,Azul,Ruivo,Contusão,Rua,Negra,Classe Alta,Desconhecido
94,27.06,1.74,52.74,Feminino,Preto,Ruivo,Estrangulamento,Escola,Parda,Classe Baixa,Desconhecido
136,22.78,1.76,75.83,Masculino,Preto,Loiro,Esfaqueamento,Escola,Parda,Classe Média,Desconhecido
1416,21.51,1.5,33.58,Masculino,Azul,Loiro,Esfaqueamento,Rua,Negra,Classe Média,ElBigodon Camacho
909,57.09,1.67,74.67,Masculino,Castanho,Loiro,Contusão,Rua,Amarela,Classe Média,Desconhecido
702,48.78,1.87,58.87,Masculino,Azul,Loiro,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
809,45.14,1.72,83.65,Masculino,Preto,Preto,Estrangulamento,Rua,Branca,Classe Alta,Desconhecido
1541,35.65,1.64,64.12,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
1301,23.98,1.41,45.6,Feminino,Preto,Preto,Envenenamento,Escola,Parda,Classe Média,Desconhecido
1411,13.18,1.55,36.83,Masculino,Azul,Castanho,Esfaqueamento,Rua,Parda,Classe Alta,ElBigodon Camacho
184,37.69,1.89,30.17,Masculino,Castanho,Castanho,Esfaqueamento,Rua,Amarela,Classe Alta,Desconhecido
1109,15.18,1.68,87.96,Masculino,Preto,Ruivo,Contusão,Trabalho,Amarela,Classe Alta,Desconhecido
1502,40.25,1.63,66.47,Feminino,Castanho,Loiro,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
377,59.6,1.62,47.39,Masculino,Castanho,Preto,Contusão,Casa,Negra,Classe Alta,Desconhecido
73,31.59,1.88,34.62,Feminino,Castanho,Castanho,Contusão,Trabalho,Branca,Classe Baixa,Desconhecido
327,15.16,1.48,57.47,Masculino,Azul,Ruivo,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
892,29.71,1.52,75.13,Feminino,Castanho,Castanho,Esfaqueamento,Casa,Negra,Classe Média,Desconhecido
1766,28.19,1.85,63.97,Feminino,Verde,Ruivo,Esfaqueamento,Escola,Branca,Classe Alta,Roberto Chimarildo Tomáz
361,28.44,1.48,41.64,Feminino,Verde,Loiro,Envenenamento,Rua,Negra,Classe Média,Desconhecido
306,45.3,1.82,57.98,Feminino,Verde,Loiro,Contusão,Casa,Parda,Classe Média,Desconhecido
561,41.57,1.9,30.86,Masculino,Castanho,Preto,Estrangulamento,Trabalho,Branca,Classe Alta,Desconhecido
550,12.91,1.57,73.85,Masculino,Preto,Preto,Envenenamento,Escola,Branca,Classe Média,Desconhecido
1378,18.19,1.56,43.34,Feminino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1422,17.52,1.5,34.94,Masculino,Azul,Ruivo,Esfaqueamento,Casa,Branca,Classe Média,ElBigodon Camacho
427,44.42,1.71,70.76,Feminino,Preto,Ruivo,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
668,41.57,1.69,86.88,Feminino,Verde,Loiro,Esfaqueamento,Casa,Parda,Classe Baixa,Desconhecido
1189,25.5,1.57,43.96,Masculino,Azul,Loiro,Esfaqueamento,Trabalho,Negra,Classe Média,Desconhecido
766,44.64,1.73,68.03,Masculino,Azul,Preto,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
467,48.81,1.48,46.04,Feminino,Verde,Castanho,Envenenamento,Trabalho,Negra,Classe Baixa,Desconhecido
1185,54.24,1.43,86.62,Feminino,Preto,Loiro,Estrangulamento,Escola,Negra,Classe Média,Desconhecido
451,39.51,1.42,59.38,Feminino,Verde,Ruivo,Estrangulamento,Rua,Amarela,Classe Baixa,Desconhecido
1305,34.91,1.47,73.87,Masculino,Castanho,Ruivo,Esfaqueamento,Casa,Amarela,Classe Alta,Desconhecido
262,32.37,1.62,83.29,Masculino,Preto,Castanho,Envenenamento,Casa,Negra,Classe Baixa,Desconhecido
967,25.43,1.57,35.29,Masculino,Preto,Loiro,Envenenamento,Casa,Parda,Classe Média,Desconhecido
162,52.08,1.46,30.71,Feminino,Azul,Preto,Estrangulamento,Casa,Negra,Classe Alta,Desconhecido
1535,42.37,1.73,56.85,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1683,36.06,1.81,82.8,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Média,Roberto Chimarildo Tomáz
97,23.05,1.55,53.84,Masculino,Verde,Castanho,Contusão,Rua,Negra,Classe Média,Desconhecido
895,47.46,1.57,81.49,Feminino,Verde,Preto,Contusão,Casa,Branca,Classe Média,Desconhecido
178,23.93,1.87,49.78,Masculino,Verde,Preto,Estrangulamento,Trabalho,Negra,Classe Média,Desconhecido
1760,29.74,1.76,80.3,Feminino,Verde,Ruivo,Estrangulamento,Escola,Negra,Classe Baixa,Roberto Chimarildo Tomáz
370,49.36,1.76,42.83,Feminino,Preto,Castanho,Esfaqueamento,Escola,Amarela,Classe Alta,Desconhecido
318,36.87,1.86,61.73,Feminino,Azul,Castanho,Envenenamento,Escola,Parda,Classe Alta,Desconhecido
1183,16.82,1.6,54.97,Feminino,Castanho,Castanho,Estrangulamento,Rua,Parda,Classe Média,Desconhecido
1013,58.63,1.72,65.27,Masculino,Preto,Ruivo,Contusão,Escola,Branca,Classe Média,Desconhecido
1323,16.01,1.48,40.12,Masculino,Azul,Preto,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
13,13.14,1.62,78.76,Feminino,Castanho,Loiro,Contusão,Trabalho,Negra,Classe Baixa,Desconhecido
1083,58.42,1.61,36.59,Masculino,Castanho,Preto,Esfaqueamento,Trabalho,Branca,Classe Média,Desconhecido
718,37.21,1.89,51.19,Masculino,Preto,Preto,Contusão,Trabalho,Parda,Classe Baixa,Desconhecido
1350,13.41,1.77,40.58,Masculino,Castanho,Loiro,Esfaqueamento,Rua,Amarela,Classe Média,ElBigodon Camacho
1193,58.33,1.82,67.47,Feminino,Castanho,Preto,Esfaqueamento,Escola,Negra,Classe Média,Desconhecido
489,44.37,1.57,67.14,Masculino,Castanho,Ruivo,Estrangulamento,Trabalho,Branca,Classe Alta,Desconhecido
1091,30.52,1.68,71.01,Masculino,Verde,Preto,Estrangulamento,Casa,Negra,Classe Média,Desconhecido
16,55.12,1.74,43.41,Masculino,Castanho,Loiro,Esfaqueamento,Casa,Parda,Classe Média,Desconhecido
1617,10.57,1.77,65.9,Feminino,Castanho,Preto,Esfaqueamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
798,22.43,1.67,79.48,Masculino,Azul,Castanho,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
516,21.35,1.64,51.92,Feminino,Verde,Preto,Estrangulamento,Casa,Branca,Classe Média,Desconhecido
465,16.7,1.86,71.31,Feminino,Verde,Ruivo,Esfaqueamento,Escola,Amarela,Classe Baixa,Desconhecido
1601,33.07,1.75,62.25,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1302,30.1,1.6,63.51,Masculino,Castanho,Ruivo,Contusão,Escola,Amarela,Classe Alta,Desconhecido
1050,44.23,1.89,50.91,Feminino,Preto,Castanho,Contusão,Escola,Amarela,Classe Média,Desconhecido
1815,26.81,1.78,84.42,Feminino,Castanho,Ruivo,Contusão,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
887,42.83,1.7,55.68,Masculino,Castanho,Loiro,Esfaqueamento,Trabalho,Negra,Classe Baixa,Desconhecido
116,59.78,1.74,76.18,Masculino,Azul,Castanho,Esfaqueamento,Rua,Branca,Classe Média,Desconhecido
378,52.92,1.82,68.54,Feminino,Castanho,Preto,Estrangulamento,Escola,Amarela,Classe Alta,Desconhecido
1734,30.61,1.78,73.73,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1276,49.26,1.59,72.09,Feminino,Verde,Loiro,Contusão,Escola,Amarela,Classe Média,Desconhecido
1715,40.08,1.82,86.56,Feminino,Verde,Ruivo,Estrangulamento,Trabalho,Branca,Classe Alta,Roberto Chimarildo Tomáz
868,23.33,1.51,44.91,Masculino,Verde,Loiro,Estrangulamento,Casa,Branca,Classe Média,Desconhecido
291,20.8,1.64,79.26,Masculino,Castanho,Castanho,Esfaqueamento,Casa,Negra,Classe Baixa,Desconhecido
208,55.29,1.63,83.08,Masculino,Castanho,Loiro,Contusão,Rua,Branca,Classe Baixa,Desconhecido
1257,14.02,1.48,89.11,Feminino,Verde,Preto,Estrangulamento,Escola,Parda,Classe Baixa,Desconhecido
1545,28.72,1.75,59.3,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
878,25.25,1.86,75.39,Feminino,Verde,Castanho,Esfaqueamento,Rua,Branca,Classe Alta,Desconhecido
43,52.37,1.52,73.04,Masculino,Verde,Preto,Esfaqueamento,Rua,Parda,Classe Alta,Desconhecido
761,42.26,1.57,72.39,Masculino,Preto,Ruivo,Esfaqueamento,Escola,Amarela,Classe Baixa,Desconhecido
1698,19.45,1.84,74.74,Feminino,Verde,Ruivo,Estrangulamento,Escola,Branca,Classe Alta,Roberto Chimarildo Tomáz
658,17.86,1.5,30.49,Masculino,Preto,Castanho,Contusão,Casa,Parda,Classe Baixa,Desconhecido
1067,53.04,1.53,68.74,Feminino,Verde,Loiro,Contusão,Escola,Branca,Classe Alta,Desconhecido
186,13.37,1.69,58.77,Masculino,Castanho,Loiro,Envenenamento,Trabalho,Amarela,Classe Baixa,Desconhecido
1413,18.56,1.54,30.13,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
816,54.75,1.58,59.51,Feminino,Preto,Castanho,Esfaqueamento,Rua,Branca,Classe Baixa,Desconhecido
1261,58.66,1.76,49.26,Masculino,Verde,Preto,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
1513,31.53,1.74,68.28,Feminino,Castanho,Preto,Envenenamento,Rua,Parda,Classe Média,Coringon de le pinheirinho Silva
1583,36.19,1.77,64.83,Masculino,Preto,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
109,13.33,1.45,63.79,Masculino,Castanho,Castanho,Estrangulamento,Rua,Negra,Classe Média,Desconhecido
91,38.43,1.48,46.93,Feminino,Castanho,Preto,Contusão,Trabalho,Amarela,Classe Baixa,Desconhecido
1649,39.3,1.64,58.02,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
725,36.87,1.85,76.41,Masculino,Verde,Castanho,Estrangulamento,Escola,Branca,Classe Baixa,Desconhecido
1317,12.66,1.5,37.59,Masculino,Azul,Loiro,Esfaqueamento,Escola,Branca,Classe Baixa,ElBigodon Camacho
1717,31.03,1.67,86.91,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
566,56.55,1.56,87.61,Masculino,Azul,Castanho,Contusão,Trabalho,Branca,Classe Baixa,Desconhecido
1797,28.55,1.9,43.22,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Baixa,Roberto Chimarildo Tomáz
360,39.87,1.78,89.42,Masculino,Azul,Preto,Esfaqueamento,Rua,Parda,Classe Média,Desconhecido
676,32.44,1.82,68.15,Feminino,Preto,Loiro,Estrangulamento,Escola,Parda,Classe Baixa,Desconhecido
901,28.1,1.43,38.34,Feminino,Preto,Preto,Contusão,Casa,Amarela,Classe Média,Desconhecido
1771,23.81,1.68,76.54,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
623,18.98,1.56,39.96,Feminino,Castanho,Ruivo,Esfaqueamento,Trabalho,Branca,Classe Baixa,Desconhecido
757,17.37,1.4,46.5,Masculino,Castanho,Ruivo,Envenenamento,Casa,Branca,Classe Baixa,Desconhecido
708,23.13,1.61,69.71,Masculino,Preto,Ruivo,Estrangulamento,Escola,Negra,Classe Baixa,Desconhecido
1467,17.09,1.43,40.02,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1101,38.75,1.46,73.16,Masculino,Castanho,Preto,Esfaqueamento,Escola,Parda,Classe Média,Desconhecido
77,17.31,1.76,49.81,Masculino,Verde,Ruivo,Envenenamento,Escola,Amarela,Classe Média,Desconhecido
519,47.38,1.55,69.61,Feminino,Azul,Loiro,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido
1001,41.1,1.75,79.74,Masculino,Verde,Preto,Contusão,Escola,Amarela,Classe Baixa,Desconhecido
1648,45.28,1.59,31.83,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
251,54.69,1.81,68.48,Feminino,Preto,Loiro,Esfaqueamento,Escola,Amarela,Classe Baixa,Desconhecido
1807,19.09,1.9,80.9,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1316,39.26,1.69,85.28,Masculino,Azul,Ruivo,Envenenamento,Casa,Parda,Classe Alta,Desconhecido
268,19.85,1.86,65.25,Masculino,Azul,Preto,Contusão,Trabalho,Branca,Classe Alta,Desconhecido
